id,ship_id,origin_port_id,dest_port_id,contents,quantity,eta_day,status
CTN_0093,SHIP_006,PORT_TRIP,PORT_ALGI,mixed,172,37,delivered
CTN_0094,SHIP_006,PORT_HAMB,PORT_TUNI,racking,107,10,delivered
CTN_0095,SHIP_006,PORT_ALGI,PORT_TANG,racking,316,47,delivered
CTN_0096,SHIP_006,PORT_ANTW,PORT_TANG,racking,271,28,delivered
CTN_0097,SHIP_006,PORT_VALE,PORT_CASA,mixed,241,56,delivered
CTN_0098,SHIP_007,PORT_HAMB,PORT_PIRA,racking,349,42,delayed
CTN_0099,SHIP_007,PORT_VALE,PORT_ANTW,inverters,94,35,delivered
CTN_0100,SHIP_007,PORT_TUNI,PORT_ROTT,inverters,297,21,delayed
CTN_0101,SHIP_007,PORT_TUNI,PORT_ROTT,panels,134,35,delivered
CTN_0102,SHIP_007,PORT_VALE,PORT_HAMB,mixed,123,22,in_transit
CTN_0103,SHIP_007,PORT_FELI,PORT_PIRA,inverters,350,27,delivered
CTN_0104,SHIP_007,PORT_VALE,PORT_HAMB,panels,294,60,in_transit
CTN_0105,SHIP_007,PORT_PIRA,PORT_FELI,panels,382,43,delayed
CTN_0106,SHIP_007,PORT_TANG,PORT_VALE,panels,332,19,delivered
CTN_0107,SHIP_007,PORT_CASA,PORT_HAMB,racking,20,11,delivered
CTN_0108,SHIP_007,PORT_FELI,PORT_PIRA,mixed,272,24,delivered
CTN_0109,SHIP_007,PORT_TANG,PORT_HAMB,panels,274,2,delivered
CTN_0110,SHIP_007,PORT_TRIP,PORT_FELI,inverters,346,45,delivered
CTN_0111,SHIP_007,PORT_ALEX,PORT_PIRA,panels,156,41,in_transit
CTN_0112,SHIP_007,PORT_PIRA,PORT_ROTT,mixed,527,26,in_transit
CTN_0113,SHIP_007,PORT_SHAN,PORT_HAMB,inverters,284,50,delivered
CTN_0114,SHIP_007,PORT_HAMB,PORT_ANTW,inverters,180,38,in_transit
CTN_0115,SHIP_007,PORT_FELI,PORT_ROTT,panels,191,21,delayed
CTN_0116,SHIP_008,PORT_TRIP,PORT_FELI,mixed,191,42,in_transit
CTN_0117,SHIP_008,PORT_ALGI,PORT_FELI,inverters,241,32,in_transit
CTN_0118,SHIP_008,PORT_SHAN,PORT_VALE,mixed,159,20,delivered
CTN_0119,SHIP_008,PORT_VALE,PORT_PIRA,inverters,409,6,delayed
CTN_0120,SHIP_008,PORT_TRIP,PORT_FELI,mixed,351,30,delayed
CTN_0121,SHIP_008,PORT_SHAN,PORT_FELI,panels,304,45,delivered
CTN_0122,SHIP_008,PORT_TRIP,PORT_PIRA,panels,478,28,delayed
CTN_0123,SHIP_008,PORT_PIRA,PORT_ANTW,panels,282,6,in_transit
CTN_0124,SHIP_008,PORT_TANG,PORT_PIRA,panels,152,23,delivered
CTN_0125,SHIP_008,PORT_SHAN,PORT_ROTT,mixed,274,19,in_transit
CTN_0126,SHIP_008,PORT_VALE,PORT_FELI,inverters,348,34,in_transit
CTN_0127,SHIP_008,PORT_TANG,PORT_ROTT,racking,292,47,delivered
CTN_0128,SHIP_009,PORT_TRIP,PORT_CASA,panels,504,38,in_transit
CTN_0129,SHIP_009,PORT_VALE,PORT_TANG,mixed,242,34,delivered
CTN_0130,SHIP_009,PORT_FELI,PORT_ALEX,inverters,312,20,delivered
CTN_0131,SHIP_009,PORT_ROTT,PORT_TANG,panels,33,35,in_transit
CTN_0132,SHIP_009,PORT_HAMB,PORT_ALGI,panels,307,41,in_transit
CTN_0133,SHIP_009,PORT_HAMB,PORT_TUNI,mixed,470,2,in_transit
CTN_0134,SHIP_009,PORT_ALGI,PORT_TUNI,panels,462,12,in_transit
CTN_0135,SHIP_009,PORT_SHAN,PORT_TANG,mixed,297,34,in_transit
CTN_0136,SHIP_009,PORT_TANG,PORT_ALEX,racking,446,30,in_transit
CTN_0137,SHIP_009,PORT_ANTW,PORT_ALEX,racking,375,2,delivered
CTN_0138,SHIP_009,PORT_CASA,PORT_ALEX,panels,308,28,delivered
CTN_0139,SHIP_009,PORT_VALE,PORT_TRIP,inverters,196,22,delayed
CTN_0140,SHIP_009,PORT_HAMB,PORT_ALGI,racking,242,26,delayed
CTN_0141,SHIP_009,PORT_ALEX,PORT_TANG,mixed,36,41,delayed
CTN_0142,SHIP_009,PORT_TANG,PORT_TANG,mixed,135,28,delivered
CTN_0143,SHIP_010,PORT_VALE,PORT_VALE,mixed,334,30,in_transit
CTN_0144,SHIP_010,PORT_ALEX,PORT_PIRA,mixed,287,6,delivered
CTN_0145,SHIP_010,PORT_CASA,PORT_ANTW,inverters,266,6,in_transit
CTN_0146,SHIP_010,PORT_HAMB,PORT_FELI,racking,191,26,delivered
CTN_0147,SHIP_010,PORT_ROTT,PORT_HAMB,racking,219,48,delivered
CTN_0148,SHIP_010,PORT_FELI,PORT_HAMB,inverters,219,34,delayed
CTN_0149,SHIP_010,PORT_ALEX,PORT_ANTW,mixed,220,6,delivered
CTN_0150,SHIP_010,PORT_TANG,PORT_HAMB,racking,327,11,delivered
CTN_0151,SHIP_010,PORT_ROTT,PORT_HAMB,mixed,600,4,delivered
CTN_0152,SHIP_010,PORT_TUNI,PORT_FELI,mixed,226,32,delivered
CTN_0153,SHIP_010,PORT_ALGI,PORT_ANTW,racking,585,23,in_transit
CTN_0154,SHIP_011,PORT_CASA,PORT_DUBA,panels,213,2,delayed
CTN_0155,SHIP_011,PORT_ALEX,PORT_JEDD,panels,148,32,delayed
CTN_0156,SHIP_011,PORT_ANTW,PORT_DAMM,inverters,391,10,in_transit
CTN_0157,SHIP_011,PORT_ROTT,PORT_DUBA,panels,201,59,in_transit
CTN_0158,SHIP_011,PORT_TRIP,PORT_DUBA,panels,159,22,in_transit
CTN_0159,SHIP_011,PORT_TANG,PORT_DOHA,racking,286,30,delivered
CTN_0160,SHIP_011,PORT_TANG,PORT_DUBA,racking,223,44,in_transit
CTN_0161,SHIP_011,PORT_ANTW,PORT_JEDD,panels,177,32,delivered
CTN_0162,SHIP_011,PORT_ALGI,PORT_AQAB,panels,376,10,delayed
CTN_0163,SHIP_011,PORT_VALE,PORT_JEDD,mixed,213,35,in_transit
CTN_0164,SHIP_011,PORT_VALE,PORT_DOHA,panels,184,21,in_transit
CTN_0165,SHIP_011,PORT_ALGI,PORT_MUSC,racking,465,39,in_transit
CTN_0166,SHIP_011,PORT_TUNI,PORT_AQAB,racking,145,31,in_transit
CTN_0167,SHIP_011,PORT_FELI,PORT_DUBA,racking,205,14,delayed
CTN_0168,SHIP_011,PORT_FELI,PORT_JEDD,inverters,117,43,in_transit
CTN_0169,SHIP_011,PORT_TANG,PORT_AQAB,racking,232,31,delayed
CTN_0170,SHIP_012,PORT_TANG,PORT_VALE,inverters,345,10,delayed
CTN_0171,SHIP_012,PORT_TANG,PORT_PIRA,racking,519,42,delivered
CTN_0172,SHIP_012,PORT_TANG,PORT_FELI,inverters,152,40,delivered
CTN_0173,SHIP_012,PORT_HAMB,PORT_ROTT,mixed,61,35,delivered
CTN_0174,SHIP_012,PORT_TRIP,PORT_VALE,panels,299,34,delivered
CTN_0175,SHIP_012,PORT_HAMB,PORT_ROTT,racking,251,25,delayed
CTN_0176,SHIP_012,PORT_PIRA,PORT_HAMB,mixed,234,29,in_transit
CTN_0177,SHIP_012,PORT_HAMB,PORT_ANTW,racking,239,31,in_transit
CTN_0178,SHIP_012,PORT_ALEX,PORT_HAMB,mixed,300,31,delivered
CTN_0179,SHIP_012,PORT_VALE,PORT_PIRA,mixed,20,34,delivered
CTN_0180,SHIP_012,PORT_SHAN,PORT_ROTT,inverters,231,40,in_transit
CTN_0181,SHIP_012,PORT_SHAN,PORT_ANTW,racking,261,2,delivered
CTN_0182,SHIP_012,PORT_VALE,PORT_FELI,panels,397,17,in_transit
CTN_0183,SHIP_012,PORT_ALEX,PORT_VALE,inverters,534,17,delayed
CTN_0184,SHIP_012,PORT_CASA,PORT_ROTT,mixed,309,13,delivered
CTN_0185,SHIP_012,PORT_FELI,PORT_PIRA,racking,313,33,delivered
CTN_0186,SHIP_012,PORT_ANTW,PORT_HAMB,racking,165,21,delivered
CTN_0187,SHIP_012,PORT_HAMB,PORT_ROTT,panels,75,10,in_transit
CTN_0188,SHIP_012,PORT_PIRA,PORT_ROTT,mixed,132,24,delayed
CTN_0189,SHIP_012,PORT_ROTT,PORT_ROTT,panels,335,26,delayed
CTN_0190,SHIP_012,PORT_ALEX,PORT_ROTT,panels,196,27,in_transit
CTN_0191,SHIP_012,PORT_FELI,PORT_HAMB,panels,90,40,delayed
CTN_0192,SHIP_012,PORT_ROTT,PORT_VALE,panels,454,34,in_transit
CTN_0193,SHIP_012,PORT_ANTW,PORT_FELI,panels,402,24,delayed
CTN_0194,SHIP_012,PORT_CASA,PORT_FELI,panels,216,21,in_transit
CTN_0195,SHIP_012,PORT_TANG,PORT_PIRA,mixed,26,41,delayed
CTN_0196,SHIP_013,PORT_TUNI,PORT_MUSC,inverters,409,51,delivered
CTN_0197,SHIP_013,PORT_CASA,PORT_AQAB,panels,20,34,in_transit
CTN_0198,SHIP_013,PORT_ANTW,PORT_DOHA,mixed,66,38,in_transit
CTN_0199,SHIP_013,PORT_ROTT,PORT_DOHA,inverters,129,2,in_transit
CTN_0200,SHIP_014,PORT_TRIP,PORT_VALE,panels,368,23,in_transit
CTN_0201,SHIP_014,PORT_ROTT,PORT_ANTW,mixed,461,39,delivered
CTN_0202,SHIP_014,PORT_TUNI,PORT_PIRA,mixed,126,30,delayed
CTN_0203,SHIP_014,PORT_CASA,PORT_PIRA,mixed,365,18,in_transit
CTN_0204,SHIP_014,PORT_CASA,PORT_HAMB,panels,20,48,delayed
CTN_0205,SHIP_015,PORT_ROTT,PORT_JEDD,inverters,252,8,delayed
CTN_0206,SHIP_015,PORT_TANG,PORT_AQAB,racking,20,47,delayed
CTN_0207,SHIP_015,PORT_PIRA,PORT_DOHA,inverters,213,15,in_transit
CTN_0208,SHIP_015,PORT_SHAN,PORT_AQAB,panels,42,24,delivered
CTN_0209,SHIP_015,PORT_PIRA,PORT_DAMM,racking,97,54,delivered
CTN_0210,SHIP_015,PORT_SHAN,PORT_DUBA,mixed,198,18,delivered
CTN_0211,SHIP_015,PORT_ANTW,PORT_MUSC,inverters,116,2,delivered
CTN_0212,SHIP_015,PORT_ROTT,PORT_MUSC,panels,187,16,in_transit
CTN_0213,SHIP_015,PORT_PIRA,PORT_DUBA,inverters,308,34,delivered
CTN_0214,SHIP_015,PORT_FELI,PORT_JEDD,mixed,332,15,in_transit
CTN_0215,SHIP_015,PORT_ALEX,PORT_JEDD,mixed,257,21,delivered
CTN_0216,SHIP_015,PORT_ALGI,PORT_DUBA,inverters,259,26,in_transit
CTN_0217,SHIP_015,PORT_FELI,PORT_JEDD,panels,336,29,in_transit
CTN_0218,SHIP_015,PORT_ROTT,PORT_JEDD,inverters,265,25,delivered
CTN_0219,SHIP_015,PORT_ANTW,PORT_MUSC,racking,99,42,delayed
CTN_0220,SHIP_015,PORT_FELI,PORT_JEDD,panels,536,37,in_transit
CTN_0221,SHIP_015,PORT_CASA,PORT_DUBA,mixed,305,26,in_transit
CTN_0222,SHIP_015,PORT_FELI,PORT_JEDD,panels,330,18,delayed
CTN_0223,SHIP_015,PORT_ROTT,PORT_DOHA,panels,359,38,in_transit
CTN_0224,SHIP_015,PORT_TRIP,PORT_AQAB,racking,313,36,delayed
CTN_0225,SHIP_015,PORT_ROTT,PORT_MUSC,racking,220,63,delayed
CTN_0226,SHIP_015,PORT_PIRA,PORT_DUBA,inverters,365,34,delayed
CTN_0227,SHIP_015,PORT_TRIP,PORT_AQAB,mixed,286,13,in_transit
CTN_0228,SHIP_015,PORT_TANG,PORT_DUBA,inverters,110,57,in_transit
CTN_0229,SHIP_015,PORT_ANTW,PORT_AQAB,panels,324,30,in_transit
CTN_0230,SHIP_016,PORT_VALE,PORT_FELI,inverters,302,18,delayed
CTN_0231,SHIP_016,PORT_VALE,PORT_HAMB,racking,100,8,in_transit
CTN_0232,SHIP_016,PORT_SHAN,PORT_ANTW,mixed,331,23,delayed
CTN_0233,SHIP_016,PORT_FELI,PORT_VALE,panels,399,24,delivered
CTN_0234,SHIP_016,PORT_ALGI,PORT_HAMB,panels,231,45,delivered
CTN_0235,SHIP_016,PORT_TUNI,PORT_HAMB,inverters,438,40,in_transit
CTN_0236,SHIP_016,PORT_CASA,PORT_ANTW,inverters,93,15,in_transit
CTN_0237,SHIP_016,PORT_ROTT,PORT_VALE,panels,315,13,delayed
CTN_0238,SHIP_016,PORT_TUNI,PORT_HAMB,inverters,474,73,delayed
CTN_0239,SHIP_016,PORT_CASA,PORT_ROTT,panels,387,23,in_transit
CTN_0240,SHIP_016,PORT_PIRA,PORT_VALE,racking,136,8,delivered
CTN_0241,SHIP_016,PORT_HAMB,PORT_HAMB,panels,357,25,delayed
CTN_0242,SHIP_016,PORT_VALE,PORT_ANTW,racking,295,38,delivered
CTN_0243,SHIP_016,PORT_VALE,PORT_PIRA,panels,89,2,delivered
CTN_0244,SHIP_016,PORT_PIRA,PORT_HAMB,panels,214,11,delayed
CTN_0245,SHIP_016,PORT_ANTW,PORT_VALE,inverters,20,16,in_transit
CTN_0246,SHIP_016,PORT_SHAN,PORT_HAMB,panels,127,32,delivered
CTN_0247,SHIP_016,PORT_PIRA,PORT_ROTT,mixed,286,23,delayed
CTN_0248,SHIP_016,PORT_ALEX,PORT_ANTW,mixed,329,39,delivered
CTN_0249,SHIP_016,PORT_PIRA,PORT_ROTT,inverters,314,42,delayed
CTN_0250,SHIP_016,PORT_TRIP,PORT_ROTT,mixed,29,53,delivered
CTN_0251,SHIP_017,PORT_TRIP,PORT_PIRA,panels,416,26,delayed
CTN_0252,SHIP_017,PORT_VALE,PORT_FELI,racking,143,18,delayed
CTN_0253,SHIP_017,PORT_VALE,PORT_FELI,inverters,374,44,delivered
CTN_0254,SHIP_017,PORT_VALE,PORT_FELI,inverters,261,31,in_transit
CTN_0255,SHIP_017,PORT_TANG,PORT_ROTT,mixed,416,38,delayed
CTN_0256,SHIP_017,PORT_ANTW,PORT_PIRA,inverters,310,30,in_transit
CTN_0257,SHIP_017,PORT_TRIP,PORT_FELI,inverters,221,36,delivered
CTN_0258,SHIP_017,PORT_SHAN,PORT_VALE,inverters,600,24,delivered
CTN_0259,SHIP_017,PORT_HAMB,PORT_ANTW,mixed,247,34,delivered
CTN_0260,SHIP_017,PORT_SHAN,PORT_FELI,mixed,489,29,in_transit
CTN_0261,SHIP_017,PORT_ROTT,PORT_HAMB,panels,359,19,in_transit
CTN_0262,SHIP_018,PORT_VALE,PORT_DUBA,racking,245,32,in_transit
CTN_0263,SHIP_018,PORT_ALEX,PORT_DAMM,racking,173,14,in_transit
CTN_0264,SHIP_018,PORT_TUNI,PORT_MUSC,panels,350,18,delivered
CTN_0265,SHIP_018,PORT_SHAN,PORT_JEDD,inverters,222,16,delayed
CTN_0266,SHIP_018,PORT_ALEX,PORT_DOHA,inverters,495,40,delayed
CTN_0267,SHIP_018,PORT_SHAN,PORT_MUSC,panels,600,4,delivered
CTN_0268,SHIP_018,PORT_FELI,PORT_DAMM,inverters,172,14,delayed
CTN_0269,SHIP_018,PORT_TUNI,PORT_AQAB,panels,350,31,delivered
CTN_0270,SHIP_018,PORT_PIRA,PORT_AQAB,panels,390,24,in_transit
CTN_0271,SHIP_018,PORT_TUNI,PORT_MUSC,racking,21,15,delayed
CTN_0272,SHIP_018,PORT_PIRA,PORT_DOHA,mixed,282,23,delayed
CTN_0273,SHIP_018,PORT_PIRA,PORT_AQAB,racking,409,16,delivered
CTN_0274,SHIP_018,PORT_VALE,PORT_DAMM,inverters,326,2,delayed
CTN_0275,SHIP_018,PORT_TANG,PORT_DOHA,racking,268,18,delayed
CTN_0276,SHIP_018,PORT_SHAN,PORT_DAMM,mixed,314,39,in_transit
CTN_0277,SHIP_018,PORT_ROTT,PORT_JEDD,racking,232,37,delivered
CTN_0278,SHIP_018,PORT_FELI,PORT_DUBA,inverters,419,45,delayed
CTN_0279,SHIP_018,PORT_TUNI,PORT_DUBA,panels,170,30,delayed
CTN_0280,SHIP_018,PORT_ALGI,PORT_DOHA,racking,203,8,delivered
CTN_0281,SHIP_018,PORT_ALEX,PORT_DUBA,racking,313,18,delivered
CTN_0282,SHIP_018,PORT_ALEX,PORT_JEDD,panels,323,39,in_transit
CTN_0283,SHIP_018,PORT_PIRA,PORT_JEDD,racking,373,14,delayed
CTN_0284,SHIP_018,PORT_ALEX,PORT_JEDD,racking,161,14,delivered
CTN_0285,SHIP_018,PORT_SHAN,PORT_DUBA,mixed,165,25,in_transit
CTN_0286,SHIP_019,PORT_ROTT,PORT_ROTT,racking,441,37,delayed
CTN_0287,SHIP_019,PORT_TUNI,PORT_FELI,racking,188,29,delayed
CTN_0288,SHIP_019,PORT_TANG,PORT_FELI,mixed,287,40,in_transit
CTN_0289,SHIP_019,PORT_FELI,PORT_ANTW,inverters,123,35,delivered
CTN_0290,SHIP_019,PORT_ANTW,PORT_HAMB,racking,383,2,delayed
CTN_0291,SHIP_019,PORT_VALE,PORT_ANTW,inverters,271,37,in_transit
CTN_0292,SHIP_020,PORT_ROTT,PORT_ALEX,panels,23,23,delayed
CTN_0293,SHIP_020,PORT_VALE,PORT_ALGI,panels,395,44,in_transit
CTN_0294,SHIP_020,PORT_CASA,PORT_ALGI,mixed,108,58,in_transit
CTN_0295,SHIP_020,PORT_TRIP,PORT_CASA,inverters,485,30,in_transit
CTN_0296,SHIP_020,PORT_ALEX,PORT_TRIP,panels,369,35,in_transit
CTN_0297,SHIP_020,PORT_HAMB,PORT_TRIP,inverters,446,6,in_transit
CTN_0298,SHIP_020,PORT_TUNI,PORT_TANG,panels,480,24,in_transit
CTN_0299,SHIP_020,PORT_ANTW,PORT_CASA,panels,600,19,in_transit
CTN_0300,SHIP_020,PORT_VALE,PORT_ALGI,panels,226,17,delayed
CTN_0301,SHIP_020,PORT_TANG,PORT_TANG,racking,355,23,delayed
CTN_0302,SHIP_020,PORT_TRIP,PORT_ALEX,racking,494,34,delivered
CTN_0303,SHIP_020,PORT_ALGI,PORT_ALEX,panels,505,31,in_transit
CTN_0304,SHIP_020,PORT_PIRA,PORT_ALGI,racking,257,36,in_transit
CTN_0305,SHIP_020,PORT_VALE,PORT_TRIP,racking,363,49,delayed
CTN_0306,SHIP_020,PORT_ALEX,PORT_CASA,inverters,20,38,delayed
CTN_0307,SHIP_021,PORT_VALE,PORT_HAMB,racking,450,16,in_transit
CTN_0308,SHIP_021,PORT_TUNI,PORT_ANTW,panels,295,23,in_transit
CTN_0309,SHIP_021,PORT_ROTT,PORT_FELI,mixed,425,46,in_transit
CTN_0310,SHIP_021,PORT_ROTT,PORT_ANTW,racking,271,2,delivered
CTN_0311,SHIP_021,PORT_HAMB,PORT_VALE,racking,155,27,delivered
CTN_0312,SHIP_021,PORT_TRIP,PORT_PIRA,panels,412,40,in_transit
CTN_0313,SHIP_021,PORT_VALE,PORT_VALE,mixed,330,12,in_transit
CTN_0314,SHIP_021,PORT_SHAN,PORT_VALE,racking,349,48,delivered
CTN_0315,SHIP_021,PORT_TANG,PORT_FELI,racking,150,25,in_transit
CTN_0316,SHIP_021,PORT_TANG,PORT_ROTT,inverters,522,47,delayed
CTN_0317,SHIP_021,PORT_HAMB,PORT_PIRA,panels,418,13,in_transit
CTN_0318,SHIP_021,PORT_TUNI,PORT_ROTT,mixed,539,25,delayed
CTN_0319,SHIP_021,PORT_TUNI,PORT_ROTT,panels,195,31,in_transit
CTN_0320,SHIP_021,PORT_PIRA,PORT_FELI,mixed,419,7,delivered
CTN_0321,SHIP_021,PORT_ALGI,PORT_HAMB,racking,208,6,in_transit
