id,name,role,region,project_id,skill_level
W_0055,Worker_55,electrician,europe,P_007,2
W_0056,Worker_56,safety,europe,P_009,3
W_0057,Worker_57,safety,europe,P_009,3
W_0058,Worker_58,safety,europe,P_019,2
W_0059,Worker_59,installer,europe,P_012,3
W_0060,Worker_60,installer,europe,P_005,3
W_0061,Worker_61,engineer,europe,P_010,2
W_0062,Worker_62,electrician,europe,P_012,1
W_0063,Worker_63,engineer,europe,P_015,5
W_0064,Worker_64,supervisor,europe,P_017,3
W_0065,Worker_65,safety,europe,P_008,3
W_0066,Worker_66,supervisor,europe,P_009,2
W_0067,Worker_67,installer,europe,P_001,2
W_0068,Worker_68,electrician,europe,P_008,4
W_0069,Worker_69,supervisor,europe,P_018,2
W_0070,Worker_70,supervisor,europe,P_009,3
W_0071,Worker_71,engineer,europe,P_014,3
W_0072,Worker_72,safety,europe,P_019,4
W_0073,Worker_73,supervisor,europe,P_006,3
W_0074,Worker_74,electrician,europe,P_003,4
W_0075,Worker_75,safety,europe,P_010,4
W_0076,Worker_76,electrician,europe,P_016,3
W_0077,Worker_77,engineer,europe,P_011,2
W_0078,Worker_78,electrician,europe,P_006,3
W_0079,Worker_79,supervisor,europe,P_001,3
W_0080,Worker_80,electrician,europe,P_012,2
W_0081,Worker_81,installer,europe,P_007,3
W_0082,Worker_82,installer,europe,P_013,3
W_0083,Worker_83,engineer,europe,P_010,5
W_0084,Worker_84,installer,europe,P_015,3
W_0085,Worker_85,supervisor,europe,P_011,2
W_0086,Worker_86,safety,europe,P_008,3
W_0087,Worker_87,safety,europe,P_010,3
W_0088,Worker_88,electrician,europe,P_014,3
W_0089,Worker_89,engineer,europe,P_012,3
W_0090,Worker_90,electrician,europe,P_018,3
W_0091,Worker_91,installer,europe,P_013,3
W_0092,Worker_92,supervisor,europe,P_013,4
W_0093,Worker_93,installer,europe,P_005,2
W_0094,Worker_94,electrician,europe,P_005,2
W_0095,Worker_95,electrician,europe,P_011,2
W_0096,Worker_96,installer,europe,P_006,2
W_0097,Worker_97,installer,europe,P_016,4
W_0098,Worker_98,safety,europe,P_002,4
W_0099,Worker_99,electrician,europe,P_001,5
W_0100,Worker_100,supervisor,europe,P_008,5
W_0101,Worker_101,electrician,europe,P_007,4
W_0102,Worker_102,electrician,europe,P_006,3
W_0103,Worker_103,electrician,europe,P_013,3
W_0104,Worker_104,safety,europe,P_018,1
W_0105,Worker_105,supervisor,europe,P_010,3
W_0106,Worker_106,supervisor,europe,P_014,2
W_0107,Worker_107,installer,europe,P_011,2
W_0108,Worker_108,safety,europe,P_018,3
W_0109,Worker_109,engineer,europe,P_005,3
W_0110,Worker_110,electrician,europe,P_013,3
W_0111,Worker_111,supervisor,europe,P_014,2
W_0112,Worker_112,safety,europe,P_013,4
W_0113,Worker_113,supervisor,europe,P_005,3
W_0114,Worker_114,safety,europe,P_017,3
W_0115,Worker_115,installer,europe,P_007,3
W_0116,Worker_116,engineer,europe,P_018,1
W_0117,Worker_117,electrician,europe,P_018,3
W_0118,Worker_118,electrician,europe,P_002,3
W_0119,Worker_119,installer,europe,P_003,1
W_0120,Worker_120,engineer,europe,P_018,2
W_0121,Worker_121,electrician,europe,P_009,4
W_0122,Worker_122,safety,europe,P_017,1
W_0123,Worker_123,engineer,europe,P_014,3
W_0124,Worker_124,electrician,europe,P_012,5
W_0125,Worker_125,electrician,europe,P_004,3
W_0126,Worker_126,installer,europe,P_015,4
W_0127,Worker_127,supervisor,europe,P_017,3
W_0128,Worker_128,safety,europe,P_015,1
W_0129,Worker_129,installer,europe,P_001,3
W_0130,Worker_130,electrician,europe,P_001,2
W_0131,Worker_131,supervisor,europe,P_002,2
W_0132,Worker_132,engineer,europe,P_013,3
W_0133,Worker_133,supervisor,europe,P_015,2
W_0134,Worker_134,supervisor,europe,P_009,3
W_0135,Worker_135,electrician,europe,P_017,2
W_0136,Worker_136,installer,europe,P_003,3
W_0137,Worker_137,electrician,europe,P_015,2
W_0138,Worker_138,supervisor,europe,P_019,3
W_0139,Worker_139,installer,europe,P_005,4
W_0140,Worker_140,electrician,europe,P_017,4
W_0141,Worker_141,electrician,europe,P_019,3
W_0142,Worker_142,electrician,europe,P_011,4
W_0143,Worker_143,supervisor,europe,P_018,3
W_0144,Worker_144,safety,europe,P_001,4
W_0145,Worker_145,supervisor,europe,P_019,2
W_0146,Worker_146,engineer,europe,P_019,2
W_0147,Worker_147,supervisor,europe,P_013,3
W_0148,Worker_148,electrician,europe,P_017,3
W_0149,Worker_149,supervisor,europe,P_003,3
W_0150,Worker_150,installer,europe,P_008,4
W_0151,Worker_151,safety,europe,P_002,3
W_0152,Worker_152,electrician,europe,P_004,4
W_0153,Worker_153,installer,europe,P_013,4
W_0154,Worker_154,supervisor,europe,P_010,2
W_0155,Worker_155,electrician,europe,P_004,1
W_0156,Worker_156,electrician,europe,P_009,2
W_0157,Worker_157,electrician,europe,P_010,2
W_0158,Worker_158,engineer,europe,P_009,3
W_0159,Worker_159,engineer,europe,P_003,3
W_0160,Worker_160,engineer,europe,P_010,3
W_0161,Worker_161,engineer,europe,P_007,3
W_0162,Worker_162,engineer,europe,P_019,5
W_0163,Worker_163,electrician,europe,P_017,3
W_0164,Worker_164,safety,europe,P_011,3
W_0165,Worker_165,engineer,europe,P_005,3
W_0166,Worker_166,installer,europe,P_018,2
W_0167,Worker_167,supervisor,europe,P_002,4
W_0168,Worker_168,safety,europe,P_014,3
W_0169,Worker_169,electrician,europe,P_016,2
W_0170,Worker_170,installer,europe,P_018,2
W_0171,Worker_171,installer,europe,P_012,4
W_0172,Worker_172,installer,europe,P_013,4
W_0173,Worker_173,engineer,europe,P_015,2
W_0174,Worker_174,safety,europe,P_011,3
W_0175,Worker_175,engineer,europe,P_009,3
W_0176,Worker_176,safety,europe,P_004,3
W_0177,Worker_177,safety,europe,P_017,2
W_0178,Worker_178,supervisor,europe,P_001,2
W_0179,Worker_179,electrician,europe,P_003,3
W_0180,Worker_180,safety,europe,P_005,2
W_0181,Worker_181,installer,europe,P_001,2
W_0182,Worker_182,electrician,europe,P_007,2
W_0183,Worker_183,safety,europe,P_007,1
W_0184,Worker_184,engineer,europe,P_015,2
W_0185,Worker_185,electrician,europe,P_017,4
W_0186,Worker_186,electrician,europe,P_003,4
W_0187,Worker_187,safety,europe,P_009,5
W_0188,Worker_188,electrician,europe,P_014,2
W_0189,Worker_189,supervisor,europe,P_011,4
W_0190,Worker_190,electrician,europe,P_010,3
W_0191,Worker_191,supervisor,europe,P_013,2
W_0192,Worker_192,supervisor,europe,P_013,4
W_0193,Worker_193,safety,europe,P_018,3
W_0194,Worker_194,safety,europe,P_013,1
W_0195,Worker_195,engineer,europe,P_017,4
W_0196,Worker_196,electrician,europe,P_004,3
W_0197,Worker_197,electrician,europe,P_003,3
W_0198,Worker_198,supervisor,europe,P_011,2
W_0199,Worker_199,electrician,europe,P_019,3
W_0200,Worker_200,installer,europe,P_002,4
W_0201,Worker_201,engineer,europe,P_019,3
W_0202,Worker_202,electrician,europe,P_003,2
W_0203,Worker_203,installer,europe,P_009,3
W_0204,Worker_204,installer,europe,P_011,3
W_0205,Worker_205,safety,europe,P_004,4
W_0206,Worker_206,electrician,europe,P_017,3
W_0207,Worker_207,supervisor,europe,P_011,2
W_0208,Worker_208,safety,europe,P_013,3
W_0209,Worker_209,installer,europe,P_016,3
W_0210,Worker_210,safety,europe,P_003,3
W_0211,Worker_211,installer,europe,P_009,4
W_0212,Worker_212,installer,europe,P_016,2
W_0213,Worker_213,safety,europe,P_004,5
W_0214,Worker_214,installer,europe,P_002,3
W_0215,Worker_215,supervisor,europe,P_018,4
W_0216,Worker_216,electrician,europe,P_009,4
W_0217,Worker_217,electrician,europe,P_017,3
W_0218,Worker_218,electrician,europe,P_013,4
W_0219,Worker_219,installer,europe,P_008,1
W_0220,Worker_220,installer,europe,P_015,4
W_0221,Worker_221,safety,europe,P_018,2
W_0222,Worker_222,installer,europe,P_007,3
W_0223,Worker_223,engineer,europe,P_006,3
W_0224,Worker_224,supervisor,europe,P_015,4
W_0225,Worker_225,engineer,europe,P_014,2
W_0226,Worker_226,electrician,europe,P_016,3
W_0227,Worker_227,safety,europe,P_008,3
W_0228,Worker_228,engineer,europe,P_004,3
W_0229,Worker_229,supervisor,europe,P_017,3
W_0230,Worker_230,engineer,europe,P_019,4
W_0231,Worker_231,supervisor,europe,P_017,1
W_0232,Worker_232,electrician,europe,P_017,3
W_0233,Worker_233,electrician,europe,P_010,5
W_0234,Worker_234,supervisor,europe,P_002,3
W_0235,Worker_235,electrician,europe,P_009,3
W_0236,Worker_236,electrician,europe,P_009,4
W_0237,Worker_237,safety,europe,P_002,3
W_0238,Worker_238,installer,europe,P_008,5
W_0239,Worker_239,supervisor,europe,P_007,3
W_0240,Worker_240,installer,europe,P_004,4
W_0241,Worker_241,supervisor,europe,P_019,3
W_0242,Worker_242,engineer,europe,P_015,4
W_0243,Worker_243,electrician,europe,P_005,3
W_0244,Worker_244,electrician,europe,P_015,5
W_0245,Worker_245,supervisor,europe,P_008,2
W_0246,Worker_246,safety,europe,P_013,5
W_0247,Worker_247,electrician,europe,P_008,2
W_0248,Worker_248,engineer,europe,P_004,4
W_0249,Worker_249,installer,europe,P_006,3
W_0250,Worker_250,engineer,europe,P_001,4
W_0251,Worker_251,electrician,europe,P_007,3
W_0252,Worker_252,electrician,europe,P_005,4
W_0253,Worker_253,installer,europe,P_012,2
W_0254,Worker_254,engineer,europe,P_018,1
W_0255,Worker_255,installer,europe,P_005,2
W_0256,Worker_256,supervisor,europe,P_004,2
W_0257,Worker_257,supervisor,europe,P_005,2
W_0258,Worker_258,supervisor,europe,P_013,2
W_0259,Worker_259,safety,europe,P_018,2
W_0260,Worker_260,safety,europe,P_017,3
W_0261,Worker_261,supervisor,europe,P_016,2
W_0262,Worker_262,supervisor,europe,P_013,2
W_0263,Worker_263,electrician,europe,P_002,3
W_0264,Worker_264,supervisor,europe,P_011,4
W_0265,Worker_265,engineer,europe,P_005,3
W_0266,Worker_266,electrician,europe,P_001,3
W_0267,Worker_267,supervisor,europe,P_015,3
W_0268,Worker_268,installer,europe,P_009,2
W_0269,Worker_269,installer,europe,P_015,3
W_0270,Worker_270,engineer,europe,P_013,2
W_0271,Worker_271,safety,europe,P_005,4
W_0272,Worker_272,supervisor,europe,P_019,4
W_0273,Worker_273,safety,europe,P_014,2
W_0274,Worker_274,engineer,europe,P_003,3
W_0275,Worker_275,engineer,europe,P_016,4
W_0276,Worker_276,installer,europe,P_018,3
W_0277,Worker_277,safety,europe,P_005,3
W_0278,Worker_278,installer,europe,P_009,2
W_0279,Worker_279,supervisor,europe,P_011,5
W_0280,Worker_280,engineer,europe,P_003,2
W_0281,Worker_281,electrician,europe,P_007,2
W_0282,Worker_282,supervisor,europe,P_019,2
W_0283,Worker_283,engineer,europe,P_014,3
W_0284,Worker_284,supervisor,europe,P_008,4
W_0285,Worker_285,supervisor,europe,P_004,3
W_0286,Worker_286,engineer,europe,P_008,3
W_0287,Worker_287,safety,europe,P_001,4
W_0288,Worker_288,installer,europe,P_014,4
W_0289,Worker_289,supervisor,europe,P_018,4
W_0290,Worker_290,supervisor,europe,P_009,1
W_0291,Worker_291,electrician,europe,P_008,4
W_0292,Worker_292,engineer,europe,P_006,3
W_0293,Worker_293,supervisor,europe,P_019,2
W_0294,Worker_294,supervisor,europe,P_015,3
W_0295,Worker_295,safety,europe,P_002,4
W_0296,Worker_296,electrician,europe,P_012,2
W_0297,Worker_297,engineer,europe,P_013,4
W_0298,Worker_298,safety,europe,P_008,3
W_0299,Worker_299,installer,europe,P_016,1
W_0300,Worker_300,installer,europe,P_009,3
W_0301,Worker_301,supervisor,europe,P_014,3
W_0302,Worker_302,supervisor,europe,P_001,3
W_0303,Worker_303,electrician,europe,P_003,3
W_0304,Worker_304,engineer,europe,P_015,3
W_0305,Worker_305,engineer,europe,P_008,5
W_0306,Worker_306,engineer,europe,P_007,3
W_0307,Worker_307,installer,europe,P_003,2
W_0308,Worker_308,safety,europe,P_014,4
W_0309,Worker_309,engineer,europe,P_011,3
W_0310,Worker_310,electrician,europe,P_003,3
W_0311,Worker_311,safety,europe,P_018,3
W_0312,Worker_312,engineer,europe,P_018,4
W_0313,Worker_313,installer,europe,P_008,2
W_0314,Worker_314,electrician,europe,P_018,4
W_0315,Worker_315,engineer,europe,P_011,4
W_0316,Worker_316,electrician,europe,P_005,5
W_0317,Worker_317,supervisor,europe,P_006,3
W_0318,Worker_318,supervisor,europe,P_011,2
W_0319,Worker_319,engineer,europe,P_017,3
W_0320,Worker_320,electrician,europe,P_018,3
W_0321,Worker_321,supervisor,europe,P_007,4
W_0322,Worker_322,electrician,europe,P_003,2
W_0323,Worker_323,safety,europe,P_003,2
W_0324,Worker_324,engineer,europe,P_013,3
W_0325,Worker_325,safety,europe,P_019,5
W_0326,Worker_326,electrician,europe,P_010,4
W_0327,Worker_327,electrician,europe,P_004,4
W_0328,Worker_328,supervisor,europe,P_019,2
W_0329,Worker_329,supervisor,europe,P_014,3
W_0330,Worker_330,engineer,europe,P_013,4
W_0331,Worker_331,electrician,europe,P_017,3
W_0332,Worker_332,safety,europe,P_019,1
W_0333,Worker_333,supervisor,europe,P_010,3
W_0334,Worker_334,installer,europe,P_009,4
W_0335,Worker_335,electrician,europe,P_005,1
W_0336,Worker_336,supervisor,europe,P_018,3
W_0337,Worker_337,safety,europe,P_002,2
W_0338,Worker_338,safety,europe,P_012,4
W_0339,Worker_339,safety,europe,P_019,3
W_0340,Worker_340,electrician,europe,P_014,3
W_0341,Worker_341,electrician,europe,P_013,3
W_0342,Worker_342,supervisor,europe,P_017,3
W_0343,Worker_343,electrician,europe,P_007,5
W_0344,Worker_344,engineer,europe,P_011,2
W_0345,Worker_345,engineer,europe,P_013,3
W_0346,Worker_346,engineer,europe,P_010,3
W_0347,Worker_347,engineer,europe,P_015,3
W_0348,Worker_348,electrician,europe,P_019,5
W_0349,Worker_349,engineer,europe,P_008,4
W_0350,Worker_350,safety,europe,P_005,3
W_0351,Worker_351,supervisor,europe,P_018,4
W_0352,Worker_352,supervisor,europe,P_001,4
W_0353,Worker_353,supervisor,europe,P_016,3
W_0354,Worker_354,engineer,europe,P_012,4
W_0355,Worker_355,electrician,europe,P_012,2
W_0356,Worker_356,electrician,europe,P_012,2
W_0357,Worker_357,electrician,europe,P_009,1
W_0358,Worker_358,safety,europe,P_002,1
W_0359,Worker_359,electrician,europe,P_005,4
W_0360,Worker_360,installer,europe,P_002,3
W_0361,Worker_361,supervisor,europe,P_005,1
W_0362,Worker_362,electrician,europe,P_001,3
W_0363,Worker_363,electrician,europe,P_012,4
W_0364,Worker_364,installer,europe,P_011,2
W_0365,Worker_365,engineer,europe,P_004,3
W_0366,Worker_366,electrician,europe,P_018,5
W_0367,Worker_367,supervisor,europe,P_002,3
W_0368,Worker_368,supervisor,europe,P_015,2
W_0369,Worker_369,safety,europe,P_003,2
W_0370,Worker_370,safety,europe,P_013,1
W_0371,Worker_371,electrician,europe,P_005,4
W_0372,Worker_372,electrician,europe,P_012,2
W_0373,Worker_373,engineer,europe,P_004,2
W_0374,Worker_374,safety,europe,P_009,5
W_0375,Worker_375,installer,europe,P_006,2
W_0376,Worker_376,engineer,europe,P_013,2
W_0377,Worker_377,supervisor,europe,P_018,2
W_0378,Worker_378,installer,europe,P_019,4
W_0379,Worker_379,electrician,europe,P_007,4
W_0380,Worker_380,electrician,europe,P_005,2
W_0381,Worker_381,engineer,europe,P_018,2
W_0382,Worker_382,installer,europe,P_013,3
W_0383,Worker_383,engineer,europe,P_016,3
W_0384,Worker_384,engineer,europe,P_004,3
W_0385,Worker_385,electrician,europe,P_002,4
W_0386,Worker_386,electrician,europe,P_015,2
W_0387,Worker_387,installer,europe,P_017,2
W_0388,Worker_388,supervisor,europe,P_010,4
W_0389,Worker_389,engineer,europe,P_012,3
W_0390,Worker_390,safety,europe,P_011,1
W_0391,Worker_391,safety,europe,P_007,3
W_0392,Worker_392,engineer,europe,P_015,5
W_0393,Worker_393,supervisor,europe,P_014,4
W_0394,Worker_394,supervisor,europe,P_003,2
W_0395,Worker_395,installer,europe,P_002,2
W_0396,Worker_396,installer,europe,P_006,3
W_0397,Worker_397,engineer,europe,P_007,4
W_0398,Worker_398,safety,europe,P_011,1
W_0399,Worker_399,safety,europe,P_003,3
W_0400,Worker_400,electrician,europe,P_004,3
W_0401,Worker_401,electrician,europe,P_008,3
W_0402,Worker_402,electrician,europe,P_012,2
W_0403,Worker_403,electrician,europe,P_019,4
W_0404,Worker_404,installer,europe,P_016,4
W_0405,Worker_405,electrician,europe,P_010,4
W_0406,Worker_406,supervisor,europe,P_011,5
W_0407,Worker_407,safety,europe,P_002,3
W_0408,Worker_408,supervisor,europe,P_019,3
W_0409,Worker_409,engineer,europe,P_011,4
W_0410,Worker_410,installer,europe,P_018,3
W_0411,Worker_411,electrician,europe,P_005,3
W_0412,Worker_412,safety,europe,P_019,3
W_0413,Worker_413,engineer,europe,P_008,4
W_0414,Worker_414,electrician,europe,P_008,3
W_0415,Worker_415,electrician,europe,P_005,4
W_0416,Worker_416,supervisor,europe,P_012,3
W_0417,Worker_417,safety,europe,P_008,4
W_0418,Worker_418,supervisor,europe,P_003,3
W_0419,Worker_419,electrician,europe,P_016,4
W_0420,Worker_420,installer,europe,P_009,2
W_0421,Worker_421,supervisor,europe,P_017,3
W_0422,Worker_422,safety,europe,P_010,2
W_0423,Worker_423,engineer,europe,P_015,3
W_0424,Worker_424,safety,europe,P_016,3
W_0425,Worker_425,supervisor,europe,P_016,3
W_0426,Worker_426,electrician,europe,P_003,4
W_0427,Worker_427,safety,europe,P_001,3
W_0428,Worker_428,engineer,europe,P_012,3
W_0429,Worker_429,safety,europe,P_005,4
W_0430,Worker_430,supervisor,europe,P_013,4
W_0431,Worker_431,installer,europe,P_015,1
W_0432,Worker_432,safety,europe,P_017,2
W_0433,Worker_433,installer,europe,P_011,3
W_0434,Worker_434,supervisor,europe,P_007,3
W_0435,Worker_435,installer,europe,P_015,1
W_0436,Worker_436,engineer,europe,P_002,2
W_0437,Worker_437,installer,europe,P_004,3
W_0438,Worker_438,engineer,europe,P_019,3
W_0439,Worker_439,installer,europe,P_014,3
W_0440,Worker_440,engineer,europe,P_003,3
W_0441,Worker_441,supervisor,europe,P_016,2
W_0442,Worker_442,supervisor,europe,P_013,3
W_0443,Worker_443,supervisor,europe,P_015,1
W_0444,Worker_444,safety,europe,P_004,2
W_0445,Worker_445,electrician,europe,P_013,4
W_0446,Worker_446,electrician,europe,P_007,2
W_0447,Worker_447,safety,europe,P_010,3
W_0448,Worker_448,installer,europe,P_017,3
W_0449,Worker_449,electrician,europe,P_014,2
W_0450,Worker_450,engineer,europe,P_011,4
W_0451,Worker_451,electrician,europe,P_005,4
W_0452,Worker_452,electrician,europe,P_002,2
W_0453,Worker_453,safety,europe,P_012,1
W_0454,Worker_454,safety,europe,P_001,3
W_0455,Worker_455,engineer,europe,P_019,1
W_0456,Worker_456,supervisor,europe,P_002,4
W_0457,Worker_457,installer,europe,P_008,3
W_0458,Worker_458,electrician,europe,P_006,2
W_0459,Worker_459,supervisor,europe,P_019,2
W_0460,Worker_460,safety,europe,P_010,2
W_0461,Worker_461,installer,europe,P_012,2
W_0462,Worker_462,engineer,europe,P_010,1
W_0463,Worker_463,electrician,europe,P_005,4
W_0464,Worker_464,installer,europe,P_013,2
W_0465,Worker_465,engineer,europe,P_014,3
W_0466,Worker_466,safety,europe,P_015,3
W_0467,Worker_467,installer,europe,P_005,4
W_0468,Worker_468,installer,europe,P_001,3
W_0469,Worker_469,supervisor,europe,P_009,3
W_0470,Worker_470,engineer,europe,P_012,3
W_0471,Worker_471,installer,europe,P_007,2
W_0472,Worker_472,installer,europe,P_007,2
W_0473,Worker_473,installer,europe,P_009,3
W_0474,Worker_474,safety,europe,P_015,1
W_0475,Worker_475,engineer,europe,P_015,2
W_0476,Worker_476,installer,europe,P_003,3
W_0477,Worker_477,safety,europe,P_013,5
W_0478,Worker_478,supervisor,europe,P_015,4
W_0479,Worker_479,engineer,europe,P_019,3
W_0480,Worker_480,electrician,europe,P_016,4
W_0481,Worker_481,installer,europe,P_008,2
W_0482,Worker_482,installer,europe,P_019,3
W_0483,Worker_483,installer,europe,P_003,4
W_0484,Worker_484,installer,europe,P_018,2
W_0485,Worker_485,supervisor,europe,P_003,2
W_0486,Worker_486,safety,europe,P_007,3
W_0487,Worker_487,supervisor,europe,P_005,2
W_0488,Worker_488,electrician,europe,P_007,4
W_0489,Worker_489,electrician,europe,P_010,4
W_0490,Worker_490,installer,europe,P_017,2
W_0491,Worker_491,installer,europe,P_009,2
W_0492,Worker_492,supervisor,europe,P_018,4
W_0493,Worker_493,installer,europe,P_007,3
W_0494,Worker_494,installer,europe,P_019,4
W_0495,Worker_495,safety,europe,P_004,3
W_0496,Worker_496,supervisor,europe,P_015,3
W_0497,Worker_497,engineer,europe,P_014,3
W_0498,Worker_498,installer,europe,P_014,5
W_0499,Worker_499,supervisor,europe,P_006,4
W_0500,Worker_500,installer,europe,P_003,2
W_0501,Worker_501,electrician,europe,P_019,3
W_0502,Worker_502,supervisor,europe,P_001,3
W_0503,Worker_503,supervisor,europe,P_011,2
W_0504,Worker_504,installer,europe,P_002,3
W_0505,Worker_505,supervisor,europe,P_008,3
W_0506,Worker_506,electrician,europe,P_009,2
W_0507,Worker_507,engineer,europe,P_019,3
W_0508,Worker_508,engineer,europe,P_016,2
W_0509,Worker_509,supervisor,europe,P_019,3
W_0510,Worker_510,engineer,europe,P_008,2
W_0511,Worker_511,installer,europe,P_016,3
W_0512,Worker_512,electrician,europe,P_014,3
W_0513,Worker_513,electrician,europe,P_003,1
W_0514,Worker_514,safety,europe,P_010,5
W_0515,Worker_515,safety,europe,P_012,3
W_0516,Worker_516,safety,europe,P_008,5
W_0517,Worker_517,electrician,europe,P_018,3
W_0518,Worker_518,supervisor,europe,P_015,4
W_0519,Worker_519,installer,europe,P_015,2
W_0520,Worker_520,safety,europe,P_019,2
W_0521,Worker_521,safety,europe,P_019,3
W_0522,Worker_522,installer,europe,P_004,5
W_0523,Worker_523,engineer,europe,P_017,2
W_0524,Worker_524,electrician,europe,P_015,1
W_0525,Worker_525,electrician,europe,P_011,4
W_0526,Worker_526,safety,europe,P_018,4
W_0527,Worker_527,engineer,europe,P_006,3
W_0528,Worker_528,safety,europe,P_007,5
W_0529,Worker_529,electrician,europe,P_015,5
W_0530,Worker_530,supervisor,europe,P_015,1
W_0531,Worker_531,engineer,europe,P_004,2
W_0532,Worker_532,installer,europe,P_001,3
W_0533,Worker_533,safety,europe,P_019,3
W_0534,Worker_534,installer,europe,P_008,3
W_0535,Worker_535,supervisor,europe,P_006,3
W_0536,Worker_536,engineer,europe,P_003,2
W_0537,Worker_537,electrician,europe,P_002,4
W_0538,Worker_538,safety,europe,P_015,4
W_0539,Worker_539,electrician,europe,P_016,4
W_0540,Worker_540,engineer,europe,P_007,2
W_0541,Worker_541,installer,europe,P_011,3
W_0542,Worker_542,installer,europe,P_005,3
W_0543,Worker_543,safety,europe,P_003,2
W_0544,Worker_544,electrician,europe,P_005,3
W_0545,Worker_545,engineer,europe,P_009,2
W_0546,Worker_546,installer,europe,P_006,2
W_0547,Worker_547,engineer,europe,P_014,4
W_0548,Worker_548,engineer,europe,P_005,3
W_0549,Worker_549,electrician,europe,P_014,2
W_0550,Worker_550,installer,europe,P_014,4
W_0551,Worker_551,supervisor,europe,P_008,4
W_0552,Worker_552,installer,europe,P_015,1
W_0553,Worker_553,engineer,europe,P_015,3
W_0554,Worker_554,electrician,europe,P_008,3
W_0555,Worker_555,engineer,europe,P_012,3
W_0556,Worker_556,engineer,europe,P_006,3
W_0557,Worker_557,safety,europe,P_007,1
W_0558,Worker_558,supervisor,europe,P_006,5
W_0559,Worker_559,safety,europe,P_001,3
W_0560,Worker_560,installer,europe,P_016,3
W_0561,Worker_561,safety,europe,P_009,3
W_0562,Worker_562,safety,europe,P_008,2
W_0563,Worker_563,engineer,europe,P_001,4
W_0564,Worker_564,electrician,europe,P_010,3
W_0565,Worker_565,safety,europe,P_012,3
W_0566,Worker_566,supervisor,europe,P_010,3
W_0567,Worker_567,engineer,europe,P_014,3
W_0568,Worker_568,engineer,europe,P_012,5
W_0569,Worker_569,safety,europe,P_016,4
W_0570,Worker_570,engineer,europe,P_019,3
W_0571,Worker_571,installer,europe,P_002,2
W_0572,Worker_572,engineer,europe,P_004,4
W_0573,Worker_573,installer,europe,P_006,3
W_0574,Worker_574,safety,europe,P_009,2
W_0575,Worker_575,electrician,europe,P_001,1
W_0576,Worker_576,supervisor,europe,P_012,4
W_0577,Worker_577,supervisor,europe,P_006,4
W_0578,Worker_578,electrician,europe,P_002,2
W_0579,Worker_579,installer,europe,P_005,2
W_0580,Worker_580,electrician,europe,P_014,3
W_0581,Worker_581,installer,europe,P_008,3
W_0582,Worker_582,engineer,europe,P_004,1
W_0583,Worker_583,installer,europe,P_010,2
W_0584,Worker_584,safety,europe,P_003,3
W_0585,Worker_585,engineer,europe,P_012,2
W_0586,Worker_586,installer,europe,P_006,4
